Rows,Cols,Missing Edges,Exact Algorithm Leaves,Exact Algorithm Time,Approx Algorithm Leaves,Approx Algorithm Time,BFS Leaves,BFS Time,Priority BFS Leaves,Priority BFS Time,Max Priority BFS Leaves,Max Priority BFS Time,Simulated Annealing Leaves,Simulated Annealing Time,Nodes,Edges
4,4,3,8.8,0.0739280462265015,8.4,0.014655065536499,4.6,0.0160191297531128,8.3,0.015809154510498,8.8,0.0150760889053345,8.2,0.07594153881073,16,21
4,4,6,7,0.0360964059829712,6.9,0.0147399663925171,5.1,0.0150988817214966,6.9,0.0141258001327515,7,0.0159072875976563,6.6,0.0804839134216309,16,18
4,4,9,5.4,0.0229801416397095,5.4,0.0241666793823242,5,0.0247082233428955,5.4,0.0250497579574585,5.4,0.0207409381866455,5.4,0.0843140125274658,16,15
4,5,4,10.7,0.291297125816345,10.5,0.0141132116317749,5.6,0.0197489738464355,9.9,0.0158998012542725,10.6,0.0156944751739502,10.1,0.0912348031997681,20,27
4,5,8,9.1,0.07418532371521,9,0.0160300731658936,6.2,0.0156435251235962,9,0.0171199798583984,9.1,0.0170628309249878,8.7,0.10119321346283,20,23
4,5,12,6.5,0.0241997718811035,6.5,0.0158124208450317,5.7,0.0157543897628784,6.5,0.0154071092605591,6.5,0.0155197858810425,6.5,0.100632262229919,20,19
4,6,4,12.6,1.10498175621033,11.7,0.0115755796432495,5.8,0.0154993534088135,11.7,0.0150724411010742,12.3,0.0161521434783936,11.9,0.0990991115570068,24,34
4,6,9,11.1,0.200038027763367,10.6,0.011662220954895,7.1,0.0160176515579224,10.6,0.0158363103866577,11,0.0156617879867554,10.6,0.0877787590026855,24,29
4,6,14,9.1,0.0344799757003784,9.1,0.0158642768859863,8,0.0152859449386597,8.8,0.0151094198226929,9.1,0.0159412860870361,9,0.10415256023407,24,24
4,7,5,15.2,3.48304123878479,14.3,0.0105701684951782,6.6,0.0108059167861938,13.6,0.0112375974655151,15.1,0.0119265079498291,13.7,0.134398126602173,28,40
4,7,11,12.5,0.40700204372406,12.1,0.0146191835403442,8.2,0.0153837203979492,11.9,0.0159262657165527,12.5,0.0163671493530273,12,0.100503540039063,28,34
4,7,16,10.1,0.0580317735671997,10.1,0.0158035755157471,8.4,0.0156234264373779,10.1,0.0157491683959961,10.1,0.0161102294921875,9.8,0.122435593605042,28,29
4,8,6,16.9,44.375990152359,15.7,0.0158364772796631,7,0.0159599304199219,16.1,0.0159972429275513,16.6,0.0164862632751465,15.5,0.107497048377991,32,46
4,8,12,14.8,3.77764015197754,14.6,0.0151360273361206,7.8,0.0153000354766846,14.2,0.0157064914703369,14.7,0.0162702798843384,14.1,0.144437026977539,32,40
4,8,19,11.1,0.0946448802947998,11.1,0.0213740110397339,9.6,0.0138339042663574,10.7,0.0210275650024414,11.1,0.0271321058273315,11,0.176661014556885,32,33
4,9,7,19.8,136.501472091675,18.2,0.0142513990402222,6.8,0.0158198356628418,18.6,0.015866231918335,19.5,0.017308497428894,17.5,0.107589769363403,36,52
4,9,14,16.5,1.77986056804657,16,0.0155898094177246,10.1,0.0151631116867065,15.9,0.0152305603027344,16.5,0.0165905952453613,15.5,0.116937565803528,36,45
4,9,21,12.9,0.138773989677429,12.9,0.0106112957000732,11,0.0144937038421631,12.7,0.0149310111999512,12.9,0.0157602071762085,12.7,0.12017023563385,36,38
5,5,5,12.9,1.43446674346924,12.1,0.0108912706375122,6.8,0.0143002033233643,12.2,0.0127901315689087,12.8,0.0157699346542358,11.8,0.110429382324219,25,35
5,5,10,11.4,0.28777060508728,11.3,0.0145859956741333,8.9,0.0154627084732056,10.8,0.0149789571762085,11.3,0.0153508186340332,10.8,0.116277265548706,25,30
5,5,15,8.6,0.0348125457763672,8.6,0.0158124685287476,7.7,0.0154135942459106,8.6,0.014496636390686,8.6,0.0159363985061646,8.6,0.134288334846497,25,25
5,6,6,15.9,12.4354665279388,14.4,0.00659258365631104,6.8,0.00664854049682617,14.9,0.00648541450500488,15.7,0.00690491199493408,14.6,0.0541556119918823,30,43
5,6,12,13.6,0.586008405685425,13.4,0.00670092105865479,9.4,0.006600022315979,13.1,0.00669996738433838,13.5,0.00669987201690674,13,0.0586931943893433,30,37
5,6,18,10.7,0.0351375102996826,10.7,0.006546950340271,8.5,0.00649456977844238,10.3,0.0063751220703125,10.7,0.007084059715271,10.6,0.0645188570022583,30,31
5,7,7,18.3,70.636055970192,17.3,0.00679192543029785,7.6,0.00640003681182861,16.5,0.00620048046112061,18.1,0.00670011043548584,16.7,0.0651122331619263,35,51
5,7,14,15.9,2.23599212169647,15.2,0.0065927267074585,9.4,0.00640969276428223,14.8,0.00637190341949463,15.7,0.0069533109664917,15.3,0.0696986675262451,35,44
5,7,21,12.8,0.0725937366485596,12.8,0.00689449310302734,10.4,0.00655448436737061,12.6,0.00669991970062256,12.8,0.00699992179870605,12.5,0.075110387802124,35,37
5,8,8,0,0,19.6,0.00653564929962158,8.8,0.00657103061676025,20.5,0.00616793632507324,21.4,0.00682675838470459,19.1,0.0743608951568604,40,59
5,8,16,0,0,18.1,0.00630006790161133,12,0.00599992275238037,18,0.00610008239746094,18.8,0.00679972171783447,17.2,0.0808001518249512,40,51
5,8,24,0,0,15.1,0.00650002956390381,12.3,0.00620007514953613,15,0.00599980354309082,15.1,0.00680000782012939,14.6,0.0862033128738403,40,43
5,9,9,0,0,22,0.00685932636260986,9.4,0.00660092830657959,23,0.00632734298706055,23.8,0.00714132785797119,21.3,0.0828623771667481,45,67
5,9,18,0,0,19.8,0.00620293617248535,12.8,0.00610518455505371,19.7,0.00629980564117432,20.8,0.00709984302520752,19.5,0.0895148277282715,45,58
5,9,27,0,0,16.2,0.00653870105743408,13,0.00642788410186768,15.6,0.00677638053894043,16.2,0.00729403495788574,16.2,0.0995009422302246,45,49
6,6,7,19.3,107.972723245621,17.9,0.00678024291992188,9.3,0.00639023780822754,17.7,0.0068281888961792,18.8,0.00739951133728027,17.2,0.068194842338562,36,53
6,6,14,17.1,5.99106569290161,16.8,0.00709991455078125,10.7,0.00650274753570557,16.1,0.00680103302001953,17,0.00690739154815674,16.2,0.0727292060852051,36,46
6,6,21,13.2,0.120335292816162,13.1,0.00659863948822022,10.9,0.00650968551635742,12.9,0.0065000057220459,13.2,0.00690391063690186,13,0.0787043571472168,36,39
6,7,8,0,0,21.2,0.00650408267974854,9.2,0.0057121753692627,21.5,0.00609934329986572,22.8,0.00700051784515381,20.4,0.0793106555938721,42,63
6,7,16,0,0,19.2,0.00660006999969482,11.2,0.00649998188018799,18.7,0.00650186538696289,19.6,0.00759994983673096,18.5,0.0829071998596191,42,55
6,7,25,0,0,16.3,0.00640885829925537,12.9,0.00618903636932373,15.6,0.00650601387023926,16.3,0.00699892044067383,15.9,0.0912003040313721,42,46
